	lat	lon	adder	state	zipcode
0	38.9118	-94.6608	119th Stn  6621 West 119th Street  Overland Park	KS	66209-2020
1	36.1049	-95.9732	Brooksiden  1401 East 41st Street  Tulsa	OK	74105
2	29.9207	-90.1178	Arabella Stationn  5600 Magazine Street  New Orleans	LA	70115
3	30.2196	-97.8416	Arbor Trailsn  4301 W. William Cannon  Austin	TX	78749
4	35.1464	-106.556	Academyn  5815 Wyoming Blvd NE  Albuquerque	NM	87109
5	38.5967	-121.364	Sacramenton  4315 Arden Way  Sacramento	CA	95864
6	38.8892	-77.0909	Arlington VAn  2700 Wilson Blvd  Arlington	VA	22201
7	34.1378	-118.148	Arroyon  465 South Arroyo Parkway  Pasadena	CA	91105
8	35.6019	-82.5547	Ashevillen  70 Merrimon Ave  Asheville	NC	28801
9	42.6609	-71.1446	Andovern  40 Railroad St.  Andover	MA	01810
10	26.3658	-80.1149	Boca Ratonn  1400 Glades Rd  Boca Raton	FL	33431
11	33.8157	-84.3333	Briarcliffn  2111 Briarcliff Rd NE  Atlanta	GA	30329
12	42.4909	-71.273	Bedfordn  170 Great Rd  Bedford	MA	01730
13	30.3076	-97.9378	Bee Caven  12601 Hill Country Blvd  Bee Cave	TX	78738
14	29.7068	-95.4416	Bellairen  4004 Bellaire Blvd  Houston	TX	77025
15	38.9662	-77.1042	Bethesdan  5269 River Rd  Bethesda	MD	20816
16	28.4491	-81.4766	Orlandon  8003 Turkey Lake Road  Orlando	FL	32819
17	25.9712	-80.1408	Aventuran  21105 Biscayne Blvd  Aventura	FL	33180
18	37.9026	-122.526	Blithedalen  731 East Blithedale  Mill Valley	CA	94941
19	42.1113	-71.4616	Bellinghamn  255 Hartford Ave  Bellingham	MA	02019
20	37.2494	-121.877	Blossom Hilln  1146 Blossom Hill Road  San Jose	CA	95118
21	47.6183	-122.185	Bellevuen  888 116th Ave NE  Bellevue	WA	98004
22	39.7087	-105.081	Belmarn  444 S.Wadsworth Blvd  Lakewood	CO	80226
23	44.0564	-121.266	Bendn  2610 Highway 20  Bend	OR	97701-6261
24	45.3945	-122.752	Bridgeportn  7380 SW Bridgeport Rd.  Tigard	OR	97224
25	42.3428	-71.1404	Brightonn  15 Washington Street  Brighton	MA	02135
26	37.8557	-122.26	Berkeleyn  3000 Telegraph Ave  Berkeley	CA	94705
27	34.0536	-118.467	Brentwoodn  11737 San Vicente Blvd  Los Angeles	CA	90049
28	41.7846	-72.7454	Bishops Cornern  340 N. Main St.  West Hartford	CT	06117
29	30.4323	-91.1112	Baton Rougen  7529 Corporate Blvd  Baton Rouge	LA	70809
30	34.0693	-118.399	Beverly Hillsn  239 North Crescent Dr  Beverly Hills	CA	90210
31	42.3681	-71.1024	Prospect Streetn  115 Prospect St  Camidge	MA	02139
32	36.9743	-121.964	Capitolan  1710 41st Avenue  Capitola	CA	95010
33	35.7374	-78.7772	Caryn  102B New Waverly Place  Cary	NC	27518
34	37.2932	-121.93	Campbelln  1690 South Bascom Ave  Campbell	CA	95008
35	38.9613	-77.0871	Friendship Heightsn  4420 Willard Ave.  Chevy Chase	MD	20815
36	39.7186	-104.958	Cherry Creekn  2375 E. 1st Ave  Denver	CO	80206
37	39.8632	-75.5431	Glen Millsn  475 Wilmington  West Chester Pike  Glen Mills	PA	19342
38	35.6791	-105.95	Santa Fe (Cerrillos)n  753 Cerrillos Rd  Santa Fe	NM	87505
39	39.7365	-105.161	Colfaxn  14357 W. Colfax Ave.  Golden	CO	80401
40	25.7064	-80.2848	Coral Gablesn  6701 Red Road  Coral Gables	FL	33143
41	40.7451	-73.9954	Chelsean  250 7th Ave  New York	NY	10001
42	32.8023	-79.889	Charlestonn  923 Houston Northcutt Blvd  Mount Pleasant	SC	29464
43	35.9344	-79.0279	Chapel Hilln  81 South Elliot Road  Chapel Hill	NC	27514
44	33.3184	-111.893	Chandlern  2955 West Ray Road  Chandler	AZ	85225
45	35.0634	-85.3142	Chattanoogan  301 Manufacturers Rd  Chattanooga	TN	37405
46	38.0598	-78.4891	Charlottesvillen  1797 Hydraulic Road  Charlottesville	VA	22901
47	39.1455	-84.4471	Cincinnatin  2693 Edmondson Rd.  Cincinnati	OH	45209
48	40.7685	-73.9831	Columbus Circlen  10 Columbus Circle  Lower Concourse Level of the Time Warner Center  New York	NY	10019
49	40.9704	-73.9557	Clostern  45 Vervalen Street  Closter	NJ	07624
50	49.264	-123.115	Cambien  510 West 8th Avenue  Vancouver	BC	V5Z
51	38.4579	-122.731	Coddingtownn  390 Coddingtown Mall  Santa Rosa	CA	95401
52	39.7005	-104.94	Colorado Boulevardn  870 S. Colorado Blvd.  Glendale	CO	80246
53	41.7559	-71.4561	Garden City Centern  151 Sockanosset Cross Road  Cranston	RI	02920
54	42.362	-71.0654	Charles River Plazan  181 Camidge St  Boston	MA	02114
55	26.2426	-80.2568	Coral Springsn  810 University Drive  Coral Springs	FL	33071
56	41.5008	-81.5369	Cedar Centern  13998 Cedar Rd.  University Heights	OH	44118
57	41.0733	-73.4761	Darienn  150 Ledge Road  Darien	CT	06820
58	40.0488	-75.4112	Devonn  821 W. Lancaster Ave  Wayne	PA	19087
59	42.233	-71.178	Dedhamn  300 Legacy Place  Dedham	MA	02026
60	36.0071	-78.9206	Durhamn  621 Broad Street  Durham	NC	27705
61	40.0983	-83.087	Columbusn  3670 W. Dublin-Granville Rd  Columbus	OH	43235
